Local_3_I.Data_x.Data_000,Local_3_O.Data_x.Data_000,Local_3_S.ScanCounter
Local_3_I.Data_x.Data_001,Local_3_O.Data_x.Data_001,Local_3_S.ScannerAddress
Local_3_I.Data_x.Data_002,Local_3_O.Data_x.Data_002,Local_3_S.ScannerStatus
Local_3_I.Data_x.Data_003,Local_3_O.Data_x.Data_003,Local_3_S.ScrollingDeviceAddress
Local_3_I.Data_x.Data_004,Local_3_O.Data_x.Data_004,Local_3_S.ScrollingDeviceStatus
Local_3_I.Data_x.Data_005,Local_3_O.Data_x.Data_005,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_0
Local_3_I.Data_x.Data_006,Local_3_O.Data_x.Data_006,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_1
Local_3_I.Data_x.Data_007,Local_3_O.Data_x.Data_007,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_2
Local_3_I.Data_x.Data_008,Local_3_O.Data_x.Data_008,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_3
Local_3_I.Data_x.Data_009,Local_3_O.Data_x.Data_009,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_4
Local_3_I.Data_x.Data_010,Local_3_O.Data_x.Data_010,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_5
Local_3_I.Data_x.Data_011,Local_3_O.Data_x.Data_011,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_6
Local_3_I.Data_x.Data_012,Local_3_O.Data_x.Data_012,Local_3_S.ActiveNodeRegister_x.ActiveNodeRegister_7
Local_3_I.Data_x.Data_013,Local_3_O.Data_x.Data_013,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_0
Local_3_I.Data_x.Data_014,Local_3_O.Data_x.Data_014,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_1
Local_3_I.Data_x.Data_015,Local_3_O.Data_x.Data_015,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_2
Local_3_I.Data_x.Data_016,Local_3_O.Data_x.Data_016,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_3
Local_3_I.Data_x.Data_017,Local_3_O.Data_x.Data_017,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_4
Local_3_I.Data_x.Data_018,Local_3_O.Data_x.Data_018,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_5
Local_3_I.Data_x.Data_019,Local_3_O.Data_x.Data_019,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_6
Local_3_I.Data_x.Data_020,Local_3_O.Data_x.Data_020,Local_3_S.AutoverifyFailureRegister_x.AutoverifyFailureRegister_7
Local_3_I.Data_x.Data_021,Local_3_O.Data_x.Data_021,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_0
Local_3_I.Data_x.Data_022,Local_3_O.Data_x.Data_022,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_1
Local_3_I.Data_x.Data_023,Local_3_O.Data_x.Data_023,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_2
Local_3_I.Data_x.Data_024,Local_3_O.Data_x.Data_024,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_3
Local_3_I.Data_x.Data_025,Local_3_O.Data_x.Data_025,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_4
Local_3_I.Data_x.Data_026,Local_3_O.Data_x.Data_026,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_5
Local_3_I.Data_x.Data_027,Local_3_O.Data_x.Data_027,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_6
Local_3_I.Data_x.Data_028,Local_3_O.Data_x.Data_028,Local_3_S.DeviceFailureRegister_x.DeviceFailureRegister_7
Local_3_I.Data_x.Data_029,Local_3_O.Data_x.Data_029,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_0
Local_3_I.Data_x.Data_030,Local_3_O.Data_x.Data_030,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_1
Local_3_I.Data_x.Data_031,Local_3_O.Data_x.Data_031,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_2
Local_3_I.Data_x.Data_032,Local_3_O.Data_x.Data_032,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_3
Local_3_I.Data_x.Data_033,Local_3_O.Data_x.Data_033,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_4
Local_3_I.Data_x.Data_034,Local_3_O.Data_x.Data_034,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_5
Local_3_I.Data_x.Data_035,Local_3_O.Data_x.Data_035,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_6
Local_3_I.Data_x.Data_036,Local_3_O.Data_x.Data_036,Local_3_S.DeviceIdleRegister_x.DeviceIdleRegister_7
Local_3_I.Data_x.Data_037,Local_3_O.Data_x.Data_037,Local_3_S.DeviceStatus_x.DeviceStatus_00
Local_3_I.Data_x.Data_038,Local_3_O.Data_x.Data_038,Local_3_S.DeviceStatus_x.DeviceStatus_01
Local_3_I.Data_x.Data_039,Local_3_O.Data_x.Data_039,Local_3_S.DeviceStatus_x.DeviceStatus_02
Local_3_I.Data_x.Data_040,Local_3_O.Data_x.Data_040,Local_3_S.DeviceStatus_x.DeviceStatus_03
Local_3_I.Data_x.Data_041,Local_3_O.Data_x.Data_041,Local_3_S.DeviceStatus_x.DeviceStatus_04
Local_3_I.Data_x.Data_042,Local_3_O.Data_x.Data_042,Local_3_S.DeviceStatus_x.DeviceStatus_05
Local_3_I.Data_x.Data_043,Local_3_O.Data_x.Data_043,Local_3_S.DeviceStatus_x.DeviceStatus_06
Local_3_I.Data_x.Data_044,Local_3_O.Data_x.Data_044,Local_3_S.DeviceStatus_x.DeviceStatus_07
Local_3_I.Data_x.Data_045,Local_3_O.Data_x.Data_045,Local_3_S.DeviceStatus_x.DeviceStatus_08
Local_3_I.Data_x.Data_046,Local_3_O.Data_x.Data_046,Local_3_S.DeviceStatus_x.DeviceStatus_09
Local_3_I.Data_x.Data_047,Local_3_O.Data_x.Data_047,Local_3_S.DeviceStatus_x.DeviceStatus_10
Local_3_I.Data_x.Data_048,Local_3_O.Data_x.Data_048,Local_3_S.DeviceStatus_x.DeviceStatus_11
Local_3_I.Data_x.Data_049,Local_3_O.Data_x.Data_049,Local_3_S.DeviceStatus_x.DeviceStatus_12
Local_3_I.Data_x.Data_050,Local_3_O.Data_x.Data_050,Local_3_S.DeviceStatus_x.DeviceStatus_13
Local_3_I.Data_x.Data_051,Local_3_O.Data_x.Data_051,Local_3_S.DeviceStatus_x.DeviceStatus_14
Local_3_I.Data_x.Data_052,Local_3_O.Data_x.Data_052,Local_3_S.DeviceStatus_x.DeviceStatus_15
Local_3_I.Data_x.Data_053,Local_3_O.Data_x.Data_053,Local_3_S.DeviceStatus_x.DeviceStatus_16
Local_3_I.Data_x.Data_054,Local_3_O.Data_x.Data_054,Local_3_S.DeviceStatus_x.DeviceStatus_17
Local_3_I.Data_x.Data_055,Local_3_O.Data_x.Data_055,Local_3_S.DeviceStatus_x.DeviceStatus_18
Local_3_I.Data_x.Data_056,Local_3_O.Data_x.Data_056,Local_3_S.DeviceStatus_x.DeviceStatus_19
Local_3_I.Data_x.Data_057,Local_3_O.Data_x.Data_057,Local_3_S.DeviceStatus_x.DeviceStatus_20
Local_3_I.Data_x.Data_058,Local_3_O.Data_x.Data_058,Local_3_S.DeviceStatus_x.DeviceStatus_21
Local_3_I.Data_x.Data_059,Local_3_O.Data_x.Data_059,Local_3_S.DeviceStatus_x.DeviceStatus_22
Local_3_I.Data_x.Data_060,Local_3_O.Data_x.Data_060,Local_3_S.DeviceStatus_x.DeviceStatus_23
Local_3_I.Data_x.Data_061,Local_3_O.Data_x.Data_061,Local_3_S.DeviceStatus_x.DeviceStatus_24
Local_3_I.Data_x.Data_062,Local_3_O.Data_x.Data_062,Local_3_S.DeviceStatus_x.DeviceStatus_25
Local_3_I.Data_x.Data_063,Local_3_O.Data_x.Data_063,Local_3_S.DeviceStatus_x.DeviceStatus_26
Local_3_I.Data_x.Data_064,Local_3_O.Data_x.Data_064,Local_3_S.DeviceStatus_x.DeviceStatus_27
Local_3_I.Data_x.Data_065,Local_3_O.Data_x.Data_065,Local_3_S.DeviceStatus_x.DeviceStatus_28
Local_3_I.Data_x.Data_066,Local_3_O.Data_x.Data_066,Local_3_S.DeviceStatus_x.DeviceStatus_29
Local_3_I.Data_x.Data_067,Local_3_O.Data_x.Data_067,Local_3_S.DeviceStatus_x.DeviceStatus_30
Local_3_I.Data_x.Data_068,Local_3_O.Data_x.Data_068,Local_3_S.DeviceStatus_x.DeviceStatus_31
Local_3_I.Data_x.Data_069,Local_3_O.Data_x.Data_069,Local_3_S.DeviceStatus_x.DeviceStatus_32
Local_3_I.Data_x.Data_070,Local_3_O.Data_x.Data_070,Local_3_S.DeviceStatus_x.DeviceStatus_33
Local_3_I.Data_x.Data_071,Local_3_O.Data_x.Data_071,Local_3_S.DeviceStatus_x.DeviceStatus_34
Local_3_I.Data_x.Data_072,Local_3_O.Data_x.Data_072,Local_3_S.DeviceStatus_x.DeviceStatus_35
Local_3_I.Data_x.Data_073,Local_3_O.Data_x.Data_073,Local_3_S.DeviceStatus_x.DeviceStatus_36
Local_3_I.Data_x.Data_074,Local_3_O.Data_x.Data_074,Local_3_S.DeviceStatus_x.DeviceStatus_37
Local_3_I.Data_x.Data_075,Local_3_O.Data_x.Data_075,Local_3_S.DeviceStatus_x.DeviceStatus_38
Local_3_I.Data_x.Data_076,Local_3_O.Data_x.Data_076,Local_3_S.DeviceStatus_x.DeviceStatus_39
Local_3_I.Data_x.Data_077,Local_3_O.Data_x.Data_077,Local_3_S.DeviceStatus_x.DeviceStatus_40
Local_3_I.Data_x.Data_078,Local_3_O.Data_x.Data_078,Local_3_S.DeviceStatus_x.DeviceStatus_41
Local_3_I.Data_x.Data_079,Local_3_O.Data_x.Data_079,Local_3_S.DeviceStatus_x.DeviceStatus_42
Local_3_I.Data_x.Data_080,Local_3_O.Data_x.Data_080,Local_3_S.DeviceStatus_x.DeviceStatus_43
Local_3_I.Data_x.Data_081,Local_3_O.Data_x.Data_081,Local_3_S.DeviceStatus_x.DeviceStatus_44
Local_3_I.Data_x.Data_082,Local_3_O.Data_x.Data_082,Local_3_S.DeviceStatus_x.DeviceStatus_45
