Dnet,Node,Type,ID Number,SCCM,FullScale,Input Bytes,Output Bytes
A,1,MFC,1,200,24576,8,2
A,2,MFC,44,2000,24576,8,2
A,3,MFC,45,200,24576,8,2
A,4,PC,10,2000,24576,8,2
A,5,MFC,2,200,24576,8,2
A,6,MFC,46,2000,24576,8,2
A,7,MFC,47,200,24576,8,2
A,8,PC,11,2000,24576,8,2
A,9,MFC,3,1000,24576,8,2
A,10,PC,12,1000,24576,8,2
A,11,UNITMFC,4,500,24576,8,2
A,12,PC,13,500,24576,8,2
A,13,MFC,5,100,24576,8,2
A,14,MFC,48,1000,24576,8,2
A,15,MFC,49,100,24576,8,2
A,16,PC,14,1000,24576,8,2
A,17,MFC,6,100,24576,8,2
A,19,MFC,51,100,24576,8,2
A,20,PC,15,1000,24576,8,2
A,21,MFC,7,100,24576,8,2
A,23,MFC,53,100,24576,8,2
A,24,PC,16,1000,24576,8,2
A,25,MFC,8,200,24576,8,2
A,27,MFC,55,200,24576,8,2
A,28,PC,17,1000,24576,8,2
A,29,MFC,9,2000,24576,8,2
A,31,MFC,37,100,24576,8,2
A,32,MFC,56,500,24576,8,2
A,33,MFC,33,1,24576,8,2
A,34,MFC,32,1,24576,8,2
A,35,MFC,19,1,24576,8,2
A,36,MFC,20,1,24576,8,2
A,37,UNITMFC,52,1000,24576,8,2
A,38,PC,21,1,24576,8,2
A,39,MFC,22,2000,24576,8,2
A,40,MFC,23,1,24576,8,2
A,41,PC,24,1,24576,8,2
A,42,MFC,34,1,24576,8,2
A,43,MFC,35,1,24576,8,2
A,44,MFC,36,100,24576,8,2
A,45,MFC,38,1,24576,8,2
A,46,MFC,39,1,24576,8,2
A,47,PC,42,2000,24576,8,2
A,48,BAR,90,0,24576,3,0
A,49,RTPC,29,5000,24576,8,3
A,50,UNITMFC,50,1000,24576,8,2
A,51,UNITMFC,54,2000,24576,8,2
A,52,RTPC,30,1,24576,8,3
A,53,RTPC,27,5000,24576,8,3
A,54,RTPC,28,5000,24576,8,3
A,55,MFC,57,1000,24576,8,2
A,56,MFC,41,10,24576,8,2
A,60,TURBOMOTOR,0,0,24576,8,8
A,61,BAR,91,0,24576,3,0
A,63,PC,43,500,24576,8,2
B,1,MFC,78,2000,24576,8,2
B,2,MFC,79,2000,24576,8,2
B,3,MFC,80,2000,24576,8,2
B,4,MFC,83,20000,24576,8,2
B,5,MFC,81,20000,24576,8,2
B,6,MFC,82,20000,24576,8,2
B,8,MFC,68,2000,24576,8,2
B,9,MFC,85,1000,24576,8,2
B,10,MFC,69,2000,24576,8,2
B,11,MFC,86,2000,24576,8,2
B,12,MFC,70,500,24576,8,2
B,13,MFC,73,1000,24576,8,2
B,14,MFC,74,1000,24576,8,2
B,15,MFC,75,5000,24576,8,2
B,16,BAR,92,0,24576,3,0
B,17,BAR,93,0,24576,3,0
B,20,BAR,94,0,24576,3,0
B,21,GP354,0,0,0,3,1
B,22,GP275,0,0,0,5,0
C,9,EZ-ZONE,0,0,0,84,80
