Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"CloseValves","CLOSEVALVES",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Autoverify","DN1_AUTOVERIFY",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Command_DisableNetwork","DN1_COMMAND_DISABLENETWORK",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Command_Fault","DN1_COMMAND_FAULT",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Command_HaltScanner","DN1_COMMAND_HALTSCANNER",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Command_Reset","DN1_COMMAND_RESET",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Command_Run","DN1_COMMAND_RUN",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_CommFailure","DN1_COMMFAILURE",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_DeviceFailure","DN1_DEVICEFAILURE",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_DisableNetwork","DN1_DISABLENETWORK",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_DnetPowerDetect","DN1_DNETPOWERDETECT",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_DupNodeFail","DN1_DUPNODEFAIL",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Fault","DN1_FAULT",Boolean,0,R/W,100,,,,,,,,,,"",
"DN1_Run","DN1_RUN",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Autoverify","DN2_AUTOVERIFY",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Command_DisableNetwork","DN2_COMMAND_DISABLENETWORK",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Command_Fault","DN2_COMMAND_FAULT",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Command_HaltScanner","DN2_COMMAND_HALTSCANNER",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Command_Reset","DN2_COMMAND_RESET",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Command_Run","DN2_COMMAND_RUN",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_CommFailure","DN2_COMMFAILURE",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_DeviceFailure","DN2_DEVICEFAILURE",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_DisableNetwork","DN2_DISABLENETWORK",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_DnetPowerDetect","DN2_DNETPOWERDETECT",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_DupNodeFail","DN2_DUPNODEFAIL",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Fault","DN2_FAULT",Boolean,0,R/W,100,,,,,,,,,,"",
"DN2_Run","DN2_RUN",Boolean,0,R/W,100,,,,,,,,,,"",
"DN3_Autoverify","DN3_AUTOVERIFY",Boolean,0,R/W,100,,,,,,,,,,"",
"DN3_Command_DisableNetwork","DN3_COMMAND_DISABLENETWORK",Boolean,0,R/W,100,,,,,,,,,,"",
